,question,label
37,Name one use of flagella in a prokaryote ? ,Cell Strucuture and transport
38,How are chloroplasts usually positioned?,Cell Strucuture and transport
39,Explain why it is so important for the cells of the human body that the solute concentration of the fluid surrounding the cells is kept constant as possible ?,Cell Strucuture and transport
40,How does the human body ventilate the alveoli?,Cell Strucuture and transport
41,How often is active transport in cells?,Cell Strucuture and transport
42,What supports a plant stems and leaves?,Cell Strucuture and transport
43,What is an adaption of the Australian Fitzroy river turtle?,Cell Strucuture and transport
44,What is the green substance contained in chloroplasts?,Cell Strucuture and transport
45,Explain the difference between osmosis and diffusion ?,Cell Strucuture and transport
46,What is the cell membrane?,Cell Strucuture and transport
47,What are muscles formed by?,Cell Strucuture and transport
48,How do light microscopes work?,Cell Strucuture and transport
49,What is the size or length of the mitochondria?,Cell Strucuture and transport
50,Where do most of the chemical reactions most needed for life take place?,Cell Strucuture and transport
51,What are plasmids?,Cell Strucuture and transport
52,How much smaller is prokaryote than a eukaryote?,Cell Strucuture and transport
53,What is net movement of particles also known as?,Cell Strucuture and transport
54,What is DNA?,Cell Strucuture and transport
55,What are transmitter chemicals used for?,Cell Strucuture and transport
56,Where are chromosomes contained?,Cell Strucuture and transport
57,What prevents cell damage as a result of osmosis?,Cell Strucuture and transport
58,What does a vacuole do?,Cell Strucuture and transport
59,How do fish achieve a constant flow of water over their gills?,Cell Strucuture and transport
60,What strengthens the cell and gives it support in a plant?,Cell Strucuture and transport
61,What is the difference between a light microscope and an electron microscope?,Cell Strucuture and transport
62,How do plants absorb the most light as possible?,Cell Strucuture and transport
63,What conditions does an electron microscope need?,Cell Strucuture and transport
64,What surrounds the nucleus? ,Cell Strucuture and transport
65,Name one adaption for the specialised nerver cell and describe how this adaption helps the cell carry out its function ?,Cell Strucuture and transport
66,What does diffusion result in?,Cell Strucuture and transport
67,What is the resolving power of an electron microscope?,Cell Strucuture and transport
68,What is the flagellum used for? ,Cell Strucuture and transport
69,What do the mitochondria do in the middle section of a sperm?,Cell Strucuture and transport
70,When can movement occur against the concentration gradient?,Cell Strucuture and transport
71,How are plant leaves modified for gas exchange?,Cell Strucuture and transport
72,What is plasmolysis?,Cell Strucuture and transport
73,What hold information from the male parents?,Cell Strucuture and transport
74,What is photosynthesis?,Cell Strucuture and transport
75,What is needed for an active transport system to carry a molecule across a membrane?,Cell Strucuture and transport
76,What is the average diameter of a chromosome?,Cell Strucuture and transport
77,Wjat moves across the cell membrane?,Cell Strucuture and transport
78,What has protective slime capsules?,Cell Strucuture and transport
79,How do muscle cells transfer energy for fibers to contract?,Cell Strucuture and transport
80,What does a cell wall not contain? ,Cell Strucuture and transport
81,What do muscle cells do?,Cell Strucuture and transport
82,How do plants differ from animals?,Cell Strucuture and transport
83,Can bacteria cause diseases?,Cell Strucuture and transport
84,What does the long tail of a sperm do? ,Cell Strucuture and transport
85,What have scientists shown is linked to the rate of cell respiration?,Cell Strucuture and transport
86,What pressure is known as turgor?,Cell Strucuture and transport
87,Why do root cells not need chloroplasts?,Cell Strucuture and transport
88,What are chromosomes?,Cell Strucuture and transport
89,Why are chloroplasts positioned in continuous layers? ,Cell Strucuture and transport
90,What does the nucleus contain?,Cell Strucuture and transport
91,What is the benefit of greatly increasing the surface area?,Cell Strucuture and transport
92,How to electron microscopes work?,Cell Strucuture and transport
93,What can cells be adapted to work as?,Cell Strucuture and transport
94,What do root hair cells greatly increase?,Cell Strucuture and transport
95,Where does urea come from? ,Cell Strucuture and transport
96,What do smooth muscle cells form?,Cell Strucuture and transport
97,Is the genetic material in a prokaryote cell stored inside a nucleus?,Cell Strucuture and transport
98,What is the name of being able to distinguish between two separate points?,Cell Strucuture and transport
99,What did algae used to be classified as?,Cell Strucuture and transport
100,Give an example of a species in the Protista?,Cell Strucuture and transport
101,How far to school microscopes magnify?,Cell Strucuture and transport
102,"Apart from animals, what has specialized cells?",Cell Strucuture and transport
103,Genes of the chromosones are stored where?,Cell Strucuture and transport
104,How do plants make their food?,Cell Strucuture and transport
105,What does muscles contracting in your digestive system do?,Cell Strucuture and transport
106,What stores glycogen?,Cell Strucuture and transport
107,How can the effectiveness of an exchange surface be increased?,Cell Strucuture and transport
108,What are dendrites connected to? ,Cell Strucuture and transport
109,Can the effect of osmosis be dramatic on animal cells?,Cell Strucuture and transport
110,What happens when an organism develops?,Cell Strucuture and transport
111,How is the surface area of the cell membrane increased?,Cell Strucuture and transport
112,What are the root hair cells three main adaptions?,Cell Strucuture and transport
113,When do most animal cells differentiate?,Cell Strucuture and transport
114,What do the mitochondria do?,Cell Strucuture and transport
115,Are human cells different or similar to animal cells?,Cell Strucuture and transport
116,How big are electron microscopes?,Cell Strucuture and transport
117,What is a single celled living organism called?,Cell Strucuture and transport
118,Name the main structures you would expect to find in a human cell ?,Cell Strucuture and transport
119,How does water move into plant cells?,Cell Strucuture and transport
120,What are chloroplasts? ,Cell Strucuture and transport
121,How large is a chloroplast?,Cell Strucuture and transport
122,Why do animals control the concentrations of their body solutions?,Cell Strucuture and transport
123,Why do organism cells differentiate? ,Cell Strucuture and transport
124,Where are microscopes used? ,Cell Strucuture and transport
125,Describe the similarities and differnences between the features found in prokaryotic and eukaryotic cells ?,Cell Strucuture and transport
126,What do microscopes do? ,Cell Strucuture and transport
127,What adaptions do sperm cells have?,Cell Strucuture and transport
128,What is a permanent vacuole?,Cell Strucuture and transport
129,Describe what flagella are ? ,Cell Strucuture and transport
130,What kind of images do an electron microscope give?,Cell Strucuture and transport
131,How to fish exchange oxygen and carbon dioxide?,Cell Strucuture and transport
132,What is grown on an agar dish?,Cell Strucuture and transport
133,What would you need to see an individual bacterium?,Cell Strucuture and transport
134,What does an electron microscope do?,Cell Strucuture and transport
135,What is the difference between two areas of concentration called?,Cell Strucuture and transport
136,What does active transport allow cells to do?,Cell Strucuture and transport
137,What happens when a cell differentiates?,Cell Strucuture and transport
138,What are alveoli?,Cell Strucuture and transport
139,What provides a rapid communication system between different parts of the body?,Cell Strucuture and transport
140,What makes up the cytoplasm?,Cell Strucuture and transport
141,What does cell respiration produce?,Cell Strucuture and transport
142,What is osmosis? ,Cell Strucuture and transport
143,What is the name for the place where protein synthesis occurs?,Cell Strucuture and transport
144,What codes for very specific features such as antibiotic resistance?,Cell Strucuture and transport
145,How does carbon dioxide get to the lungs?,Cell Strucuture and transport
146,What is a partially permeable membrane?,Cell Strucuture and transport
147,Where does the longest axon in your body run from?,Cell Strucuture and transport
148,What is needed to make transmitter chemicals?,Cell Strucuture and transport
149,What happens to the cytoplasm if it’s cell uses up all its water in chemical reactions?,Cell Strucuture and transport
150,Why does having cystic fibrosis cause health problems?,Cell Strucuture and transport
151,"What has bigger cells, plants or animals?",Cell Strucuture and transport
152,What is a cytoplasm?,Cell Strucuture and transport
153,What is glycogen?,Cell Strucuture and transport
154,What are the air sacs in the lungs called?,Cell Strucuture and transport
155,What happen if the solution surround plant cells is hypertonic?,Cell Strucuture and transport
156,"What is the disease with symptoms of thick, sticky mucus in their lungs, gut and reproductive systems?",Cell Strucuture and transport
157,What cells contract and relax?,Cell Strucuture and transport
158,What are algae?,Cell Strucuture and transport
159,Does a partially permeable membrane allow all particles to travel through it?,Cell Strucuture and transport
160,What are ribosomes?,Cell Strucuture and transport
161,What do sperm cells contain?,Cell Strucuture and transport
162,What does the acrosome store?,Cell Strucuture and transport
163,What do different sub-cellular structures enable?,Cell Strucuture and transport
164,"When the vacuole swells, what happens to the cytoplasm?",Cell Strucuture and transport
165,When does a fluid become hypotonic?,Cell Strucuture and transport
166,How do plants rely on osmosis? ,Cell Strucuture and transport
167,How long is the axon in a blue whale?,Cell Strucuture and transport
168,Name the three extra features that may be found in plant cells but not animal cells ? ,Cell Strucuture and transport
169,What makes plant roots have an even bigger surface area?,Cell Strucuture and transport
170,What is the name for the structures in the cytoplasm?,Cell Strucuture and transport
171,What often moves across the cell boundaries during osmosis?,Cell Strucuture and transport
172,What is known as gas exchange?,Cell Strucuture and transport
173,What are chloroplasts?,Cell Strucuture and transport
174,What makes clear the parts that make up a cell?,Cell Strucuture and transport
175,What cells carry electrical impulses around the body of an animal? ,Cell Strucuture and transport
176,How long is an average animal cell? ,Cell Strucuture and transport
177,What is diffusion?,Cell Strucuture and transport
178,What does a low surface area to volume ratio make difficult for an animal to do?,Cell Strucuture and transport
179,What do your cells need for respiration?,Cell Strucuture and transport
180,When will the cell swell and burst?,Cell Strucuture and transport
181,How many cells can carry out photosynthesis?,Cell Strucuture and transport
182,Why do plants need to photosynthesise?,Cell Strucuture and transport
183,What are striated muscle cells?,Cell Strucuture and transport
184,What is excreted by the kidneys?,Cell Strucuture and transport
185,What is the cytoplasm?,Cell Strucuture and transport
186,What is the name of the liquid gel in which organelles are suspended?,Cell Strucuture and transport
187,Can you see individual bacteria?,Cell Strucuture and transport
188,When do Plasmolysed cells die quickly?,Cell Strucuture and transport
189,Name one advantage and one disadvantage of a light microscope ? ,Cell Strucuture and transport
190,What is the gentic material?,Cell Strucuture and transport
191,How many bacteria could you fit on a full stop? ,Cell Strucuture and transport
192,What does the motion of particles cause them to do?,Cell Strucuture and transport
193,Suggest why the nucleus and mitochondria are so iumportant in all cells ?,Cell Strucuture and transport
194,How is energy transferred in the plant?,Cell Strucuture and transport
195,Name striated muscle cell adaptions? ,Cell Strucuture and transport
196,What does the large nucleus contain?,Cell Strucuture and transport
197,How does a steep concentration gradient affect the rate of diffusion?,Cell Strucuture and transport
198,What do the villi provide in terms of surface area?,Cell Strucuture and transport
199,Where is the xylem tissue located?,Cell Strucuture and transport
200,Suggest why Osmosis is so important in the structural support system in plants?,Cell Strucuture and transport
201,What do the mitochondria do in the muscle cell? ,Cell Strucuture and transport
202,Where is the energy produced from in active transport?,Cell Strucuture and transport
203,Where are root hair cell close too?,Cell Strucuture and transport
204,How much affect do bacteria have on organisms?,Cell Strucuture and transport
205,What are the nerve endings or synapses adapted to do?,Cell Strucuture and transport
206,What is needed for photosynthesis?,Cell Strucuture and transport
207,How does the oxygen get into our red blood cells?,Cell Strucuture and transport
208,Why are the alveoli effective for gas exchange?,Cell Strucuture and transport
209,What is the name for a spreading out of particles of gas?,Cell Strucuture and transport
210,Where does the net movement move to?,Cell Strucuture and transport
211,Where do you find root hair cells?,Cell Strucuture and transport
212,Where does the liver pass the urea to?,Cell Strucuture and transport
213,When were the first light microscopes developed?,Cell Strucuture and transport
214,What specialized cells work individually?,Cell Strucuture and transport
215,What kingdom is the algae in?,Cell Strucuture and transport
216,What is moved across by dissolved substances and gases?,Cell Strucuture and transport
217,What are examples of eukaryotic cells?,Cell Strucuture and transport
218,"In early development of animal and plant embryos, what are the type of cells present?",Cell Division
219,What is cloning?,Cell Division
220,What fuse to form a zygote?,Cell Division
221,What ways can measles damage a human?,Cell Division
222,What is producing identical offspring called?,Cell Division
223,How can people have the best chance of long-term survival with HIV/AIDS?,Cell Division
224,What is an adult stem cell?,Cell Division
225,Identify the advantages of using stem cells to treat diseases?,Cell Division
226,What is a good source of adult stem cells?,Cell Division
227,What are the main symptoms of measles?,Cell Division
228,Is there are cure for HIV/AIDS?,Cell Division
229,What is cell division used for in a mature animal?,Cell Division
230,What benefits does plant cloning give?,Cell Division
231,Why are measle numbers low in the UK?,Cell Division
232,What do scientists hope that stem cells can do for humans in the future?,Cell Division
233,Explain the main arguments for and against the use of embryonic stem cells in medical research ?,Cell Division
234,What causes paralysis?,Cell Division
235,Does growth occur in a mature animal?,Cell Division
236,Give an example of where the use of stem cells could provide new treatments ?,Cell Division
237,What needs to happen if someone is infected by measles?,Cell Division
238,What are the inner cells in an embryo?,Cell Division
239,What can a plant cell do that an animal can’t?,Cell Division
240,What do a fever and a skin rash indicate?,Cell Division
241,How quickly do viruses start in people?,Cell Division
242,Are the cells in a multicellular organism the same?,Cell Division
243,What is a stem cell?,Cell Division
244,Why is cloning animals difficult?,Cell Division
245,Where do most people affected by HIV live?,Cell Division
246,What was the first virus to ever be isolated?,Cell Division
247,When nerve cells are damaged can they be replaced?,Cell Division
248,What is a zygote?,Cell Division
249,What is the difference between plant and animal differentiation?,Cell Division
250,How do most specialized cells divide?,Cell Division
251,What does it mean for a cell to differentiate?,Cell Division
252,When you are an adult do your stem cells remain?,Cell Division
253,What is plant cloning’s application to agriculture?,Cell Division
254,What does HIV attack?,Cell Division
255,How does TMV affect the leaves of a plant?,Cell Division
256,How is the embryo formed?,Cell Division
257,At the point of conception how many cells forms a human being?,Cell Division
258,What is the Tobacco mosaic virus?,Cell Division
259,How long can TMV be infectious for in soil?,Cell Division
260,What is an embryo?,Cell Division
261,Could we potentially grow organs from stem cells?,Cell Division
262,How common is measles in the UK?,Cell Division
263,How do your differentiated cells replace themselves?,Cell Division
264,Is there a treatment for measles?,Cell Division
265,What are the symptoms a result of?,Cell Division
266,What can stem cells from plant meristems be used for?,Cell Division
267,In 2013 how many people died from measles?,Cell Division
268,Where is pepsin secreted from?,Organisation and the digestive system
269,What happens to the rate of reaction when an enzyme becomes denatured?,Organisation and the digestive system
270,What do enzymes control?,Organisation and the digestive system
271,What foods are protein-rich?,Organisation and the digestive system
272,Why do different areas of the digestive system have different pH levels. ,Organisation and the digestive system
273,How is the shape of a protein molecule lost?,Organisation and the digestive system
274,Define an enzyme ?,Organisation and the digestive system
275,Give an example of an organ system in the human body?,Organisation and the digestive system
276,What are lipids broken down into?,Organisation and the digestive system
277,How does the small intestine increase diffusion and active transport into the blood?,Organisation and the digestive system
278,What are proteins used for?,Organisation and the digestive system
279,"Identify if the each of the following are a specialised cell, a tissue, or an organ: sperm, kidney and stomach ?",Organisation and the digestive system
280,What are complex carbohydrates?,Organisation and the digestive system
281,What adaptations do systems have to make them effective as exchange surfaces?,Organisation and the digestive system
282,What chemical elements do Carbohydrates contain?,Organisation and the digestive system
283,Why does the body digest food?,Organisation and the digestive system
284,Where are soluble food molecules absorbed into the blood?,Organisation and the digestive system
285,At what temperature will enzymes become denatured?,Organisation and the digestive system
286,Why does the small intestine have an alkaline environment?,Organisation and the digestive system
287,What does Epithelial tissue do?,Organisation and the digestive system
288,What factors affect biological reactions?,Organisation and the digestive system
289,Which enzymes catalyze the breakdown of protein?,Organisation and the digestive system
290,Where is Amylase produced?,Organisation and the digestive system
291,What are enzymes that breakdown carbohydrates called?,Organisation and the digestive system
292,Where does the breakdown of protein take place?,Organisation and the digestive system
293,What are proteins broken down into?,Organisation and the digestive system
294,What is the metabolism?,Organisation and the digestive system
295,Give examples of Carbohydrate-rich food?,Organisation and the digestive system
296,Explain how you would test to see if a food sample contained starch?,Organisation and the digestive system
297,Define the active site of an enzyme ?,Organisation and the digestive system
298,What is a protein molecule made out of?,Organisation and the digestive system
299,Where is bile stored?,Organisation and the digestive system
300,Which enzyme catalyses the breakdown of starch?,Organisation and the digestive system
301,How is the small intestine adapted?,Organisation and the digestive system
302,Define a catalyst ?,Organisation and the digestive system
303,What does Glandular tissue contain?,Organisation and the digestive system
304,Explain the difference between organs and organ systems?,Organisation and the digestive system
305,Why does the stomach have an acidic environment?,Organisation and the digestive system
306,Why does your stomach produce a thick layer of mucus?,Organisation and the digestive system
307,Why is the large surface area for lipase to work on important?,Organisation and the digestive system
308,What do gall stones do?,Organisation and the digestive system
309,Explain the effect of temperature and pH on enzyme reaction?,Organisation and the digestive system
310,What is a multicellular organism made up of? ,Organisation and the digestive system
311,How do different combinations of fatty acid affect the lipid?,Organisation and the digestive system
312,Describe the effect of temperature on an enzyme-controlled reaction.,Organisation and the digestive system
313,How can pH affect the active site?,Organisation and the digestive system
314,What are the basic building blocks of all living organisms?,Organisation and the digestive system
315,Define the word tissue ?,Organisation and the digestive system
316,What is the function of the liver most closely linked with the digestive system?,Organisation and the digestive system
317,What happens in the large intestine?,Organisation and the digestive system
318,Why are enzymes produced in the body?,Organisation and the digestive system
319,What can join small molecules together and break up large ones?,Organisation and the digestive system
320,What are lipids made out of?,Organisation and the digestive system
321,What is the most efficient energy store in your body?,Organisation and the digestive system
322,What happens to the active site when an enzyme is denatured?,Organisation and the digestive system
323,What are proteins made of?,Organisation and the digestive system
324,Which enzymes digest protein?,Organisation and the digestive system
325,What do the glands in the lining of your stomach secrete?,Organisation and the digestive system
326,Where are lipase enzymes made?,Organisation and the digestive system
327,What is bile used for?,Organisation and the digestive system
328,Why does the food you take in need to be broken down?,Organisation and the digestive system
329,What holds the shape of the active site in place?,Organisation and the digestive system
330,What happens to the leftover material from digestion?,Organisation and the digestive system
331,What happens to the food molecules after digestion into soluble molecules?,Organisation and the digestive system
332,State how proteins are used in the body?,Organisation and the digestive system
333,Explain what a protein is?,Organisation and the digestive system
334,Describe how bile results in a large surface area for lipase to work?,Organisation and the digestive system
335,What is needed for a gas exchange system to work efficiently?,Organising Animals and Plants
336,What gives blood a red colour?,Organising Animals and Plants
337,What is wilting?,Organising Animals and Plants
338,What causes coronary heart disease?,Organising Animals and Plants
339,What is the purpose of valves in arteries?,Organising Animals and Plants
340,What is the purpose of white blood cells?,Organising Animals and Plants
341,Why is bypass surgery performed?,Organising Animals and Plants
342,What are the transport tissues in plants?,Organising Animals and Plants
343,How do doctors solve the problem of coronary heart disease?,Organising Animals and Plants
344,Describe the walls of arteries.,Organising Animals and Plants
345,What is translocation?,Organising Animals and Plants
346,What does the phloem transport?,Organising Animals and Plants
347,What forms an organ system for the transport of substances around the plant?,Organising Animals and Plants
348,How do plants limit the loss of water vapour?,Organising Animals and Plants
349,Describe what a natural pacemaker is?,Organising Animals and Plants
350,How think is the layer of cells between the air in the lungs and the blood in the capillaries?,Organising Animals and Plants
351,Why do red blood cells have no nucleus?,Organising Animals and Plants
352,What is the benefit of biological valves?,Organising Animals and Plants
353,What are stomata?,Organising Animals and Plants
354,What are stomata?,Organising Animals and Plants
355,Explain the importance of heart valves in the circulatory system?,Organising Animals and Plants
356,What health risks can occur from coronary heart disease?,Organising Animals and Plants
357,What separates the lungs from the digestive organs?,Organising Animals and Plants
358,What are platelets?,Organising Animals and Plants
359,What is a transpiration stream?,Organising Animals and Plants
360,What is the meristem tissue made up of?,Organising Animals and Plants
361,What can be done to allow a diseased heart to recover?,Organising Animals and Plants
362,Explain how the tissues in a leaf are arranged to form an effective organ for photosynthesis.,Organising Animals and Plants
363,How does a clot form a scab?,Organising Animals and Plants
364,What is the problem with mechanical valves?,Organising Animals and Plants
365,What artery takes blood to the body from the heart.,Organising Animals and Plants
366,How is a stent put in?,Organising Animals and Plants
367,Describe what happens in capillaries in a cell?,Organising Animals and Plants
368,Explain how you would measure the transpiration rate of a plant?,Organising Animals and Plants
369,Which muscles ventilate the lungs?,Organising Animals and Plants
370,What shape do red blood cells have?,Organising Animals and Plants
371,What are the product of photosynthesis?,Organising Animals and Plants
372,What is a stent?,Organising Animals and Plants
373,What is the purpose of the Phloem?,Organising Animals and Plants
374,Describe how an artificial pacemaker works?,Organising Animals and Plants
375,What does the plant need water for?,Organising Animals and Plants
376,What does the xylem transport?,Organising Animals and Plants
377,What does the plant need mineral ions for?,Organising Animals and Plants
378,What is a double circulatory system?,Organising Animals and Plants
379,How do the lungs achieve a steep concentration gradient for gas exchange?,Organising Animals and Plants
380,What do the coronary arteries do?,Organising Animals and Plants
381,What are biological valves?,Organising Animals and Plants
382,Which blood vessel takes blood away from the heart?,Organising Animals and Plants
383,What adaptions of the lungs make gas exchange more efficient?,Organising Animals and Plants
384,Explain the effect on transpiration of a fan blowing onto the leaves of a plant? ,Organising Animals and Plants
385,Describe the process of transpiration?,Organising Animals and Plants
386,What is the movement of dissolved sugars from the leaves to the rest of the plant called?,Organising Animals and Plants
387,What colour is oxygenated blood?,Organising Animals and Plants
388,What part of the lungs provide an efficient surface for gas exchange?,Organising Animals and Plants
389,Evaluate some of the scientific and social arguments for and against the continued development of artificial hearts?,Organising Animals and Plants
390,What gas does breathing out remove?,Organising Animals and Plants
391,What are mechanical valves made of?,Organising Animals and Plants
392,What are adaptions of red blood cells?,Organising Animals and Plants
393,How does blood clotting work?,Organising Animals and Plants
394,What is a potometer?,Organising Animals and Plants
395,What factors affect the rate of transpiration?,Organising Animals and Plants
396,How is an oxygen gradient maintained during respiration.,Organising Animals and Plants
397,Name the parts of a leaf that help the plant to reduce water loss under normal conditions?,Organising Animals and Plants
398,What apparatus can be used to measure the amount of water lost by transpiration?,Organising Animals and Plants
399,What happens when the heat beats too fast?,Organising Animals and Plants
400,What is the purpose of Palisade mesophyll tissue?,Organising Animals and Plants
401,Where does the pulmonary artery take blood to?,Organising Animals and Plants
402,What process in the plant makes glucose?,Organising Animals and Plants
403,Why is it important that plants can close their stomata?,Organising Animals and Plants
404,How do leaves prevent uncontrolled water loss?,Organising Animals and Plants
405,Identify the important functions of blood plasma?,Organising Animals and Plants
406,Name three functions of the blood?,Organising Animals and Plants
407,What colour is low oxygen blood?,Organising Animals and Plants
408,What is the job of the ventilation system?,Organising Animals and Plants
409,How does temperature affect the rate of transpiration?,Organising Animals and Plants
410,What protects the lungs?,Organising Animals and Plants
411,Explain how leaky heart valves can cause health issues?,Organising Animals and Plants
412,What are the top chambers of the heart called?,Organising Animals and Plants
413,What are the walls of the heart made of?,Organising Animals and Plants
414,What happens in coronary heart disease?,Organising Animals and Plants
415,What is the purpose of epidermal tissues?,Organising Animals and Plants
416,Why does wilting occur?,Organising Animals and Plants
417,Name 3 organs in a plant?,Organising Animals and Plants
418,What stops artificial hearts from being widely used?,Organising Animals and Plants
419,What is the purpose of capillaries?,Organising Animals and Plants
420,How is oxygen removed from the leaf?,Organising Animals and Plants
421,Which blood vessel takes blood towards the heart?,Organising Animals and Plants
422,What do plant cells need sugar for?,Organising Animals and Plants
423,What adaption of capillaries helps the diffusion of oxygen and glucose?,Organising Animals and Plants
424,What is the term for loss of water vapour?,Organising Animals and Plants
425,How can you control the pathogen population?,Communicable diseases
426,Explain how the interactions between different types of disease can affect the prevalence of a disease around the world?,Communicable diseases
427,What is a common way of getting a Salmonella infection?,Communicable diseases
428,What does it mean to culture microorganisms?,Communicable diseases
429,Suggest why bacteria are grown in 25 degrees Celsius or below in the school lab when this is not the optimum temperature for growth?,Communicable diseases
430,How do pathogens make you ill? ,Communicable diseases
431,"Explain why roses affected by black spot produce fewer, smaller flowers than healthy plants?",Communicable diseases
432,Describe how people become infected with food poisoning caused by salmonella? ,Communicable diseases
433,Describe the link between HIV and AIDS ?,Communicable diseases
434,What are vaccinations?,Communicable diseases
435,What covers the lining of the trachea and bronchi?,Communicable diseases
436,How can the spread of Malaria be controlled?,Communicable diseases
437,Describe the effect of a lack of nitrate ions in the soil on the growth of a plant?,Communicable diseases
438,Suggest why measles is now rare in the UK ?,Communicable diseases
439,What does TMV do to a plant?,Communicable diseases
440,Why has Gonorrhoea got harder to treat?,Communicable diseases
441,What causes infectious diseases? ,Communicable diseases
442,How can Aphids be destroyed?,Communicable diseases
443,A survey shows that disinfectants are most widely used in kitchens and toilets. Suggest why this is?,Communicable diseases
444,How can travellers kill the parasite in their blood?,Communicable diseases
445,How are the spores of the Rose black spot spread?,Communicable diseases
446,Give two ways in which diseases are spread from one person to another?,Communicable diseases
447,What characteristics do Aphids have?,Communicable diseases
448,Give a measure to help prevent the spread of communicable diseases?,Communicable diseases
449,Describe how washing your hands can prevent the spread of disease?,Communicable diseases
450,Why does the stomach produce acid?,Communicable diseases
451,What is binary fission?,Communicable diseases
452,Give an example of how a plant may defend itself against pathogens?,Communicable diseases
453,How can we slow the spread of disease?,Communicable diseases
454,Describe the main symptoms of measles ?,Communicable diseases
455,Why do scientists culture microorganisms in the laboratory? ,Communicable diseases
456,How is TMV spread between plants?,Communicable diseases
457,What is the purpose of the hair and mucus in your nose?,Communicable diseases
458,How is Gonorrhoea spread?,Communicable diseases
459,How can stress affect your health?,Communicable diseases
460,What is a weak link in the body’s defence against pathogens?,Communicable diseases
461,Why can vaccinations not protect plants against disease?,Communicable diseases
462,What factors affect the time between infection with HIV and the onset of final stages of AIDS?,Communicable diseases
463,Why do symptoms occur when a body has a viral disease?,Communicable diseases
464,How does your skin act as a defence mechanism against pathogens?,Communicable diseases
465,Explain how white blood cells help prevent you from suffering from communicable diseases?,Communicable diseases
466,How does your skin destroy pathogenic bacteria?,Communicable diseases
467,What factors affect the growth rate of a bacteria population?,Communicable diseases
468,How is Gonorrhoea treated?,Communicable diseases
469,How can you prevent the growth of bacteria?,Communicable diseases
470,What is the first virus ever to be isolated?,Communicable diseases
471,Why in industrial conditions is bacteria grown at higher temperatures?,Communicable diseases
472,What can happen if Gonorrhoea goes untreated?,Communicable diseases
473,How can you prevent the spread of Gonorrhoea?,Communicable diseases
474,How does damage to the roots affect a plant?,Communicable diseases
475,Describe how a plant has physical barriers preventing the invasion of pathogens?,Communicable diseases
476,Explain why agar gel is important in setting up bacterial cultures?,Communicable diseases
477,For what reason can Salmonella be fatal?,Communicable diseases
478,How can you prevent the spread of HIV?,Communicable diseases
479,What are the symptoms of Gonorrhoea?,Communicable diseases
480,Where do the majority of people infected with HIV live?,Communicable diseases
481,How can diet affect your health?,Communicable diseases
482,What are bacteria?,Communicable diseases
483,How does Malaria affect the human body?,Communicable diseases
484,Define non-communicable?,Communicable diseases
485,Some plants growing in soil with a good supply of minerals show the symptoms of mineral deficiencies such as stunted growth and yellowed leaves. Suggest a reason for this?,Communicable diseases
486,How can certain fungal diseases be fatal to humans?,Communicable diseases
487,Where on the leaf can pathogens have access to the cells within?,Communicable diseases
488,Name one way that antibiotics work to cure bacterial infections?,Communicable diseases
489,Why do plants take magnesium ions from the soil?,Communicable diseases
490,Give an example of things people can do to reduce the spread of pathogens to lower the risk of disease ? ,Communicable diseases
